x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
22.65,-2.80569909209e-06,3.83757615307e-05,-0.000333347817799,0.00209890013842,0.0100082506977,-0.036562008267,0.101295266259,-0.205260410551,0.28093260827,-0.218380259443
22.68,-2.7305675725e-06,3.74301471637e-05,-0.000325885257447,0.00205696229799,0.00983440360871,-0.0360330223103,0.100169198032,-0.203826708243,0.280604207087,-0.220644084934
22.71,-2.6573932005e-06,3.65070191701e-05,-0.000318581975854,0.00201580766494,0.00966327830603,-0.0355104057044,0.0990512196392,-0.202390697888,0.280247705435,-0.222866346304
22.74,-2.58612657707e-06,3.56058648636e-05,-0.000311434769029,0.0019754228822,0.00949483851631,-0.034994106814,0.0979413544416,-0.200952627968,0.279863460568,-0.225046880649
22.77,-2.51671950504e-06,3.47261826629e-05,-0.000304440492619,0.0019357947916,0.00932904831555,-0.0344840739083,0.0968396238326,-0.199512743535,0.279451831422,-0.227185537752
22.8,-2.44912496111e-06,3.38674818666e-05,-0.000297596060916,0.00189691043159,0.00916587212867,-0.0339802551749,0.0957460472699,-0.198071286198,0.279013178481,-0.229282179966
22.83,-2.38329706843e-06,3.3029282432e-05,-0.000290898445878,0.00185875703492,0.00900527472893,-0.0334825987333,0.094660642308,-0.196628494126,0.278547863653,-0.231336682086
22.86,-2.31919106991e-06,3.22111147577e-05,-0.00028434467616,0.00182132202634,0.00884722123738,-0.0329910526473,0.0935834246298,-0.195184602041,0.278056250138,-0.233348931229
22.89,-2.25676330196e-06,3.14125194709e-05,-0.00027793183616,0.00178459302034,0.00869167712216,-0.0325055649383,0.0925144080786,-0.193739841214,0.277538702311,-0.235318826697
22.92,-2.19597116899e-06,3.06330472182e-05,-0.000271657065081,0.00174855781887,0.00853860819777,-0.0320260835976,0.0914536046897,-0.192294439465,0.27699558559,-0.237246279851
22.95,-2.13677311833e-06,2.98722584602e-05,-0.000265517556004,0.0017132044091,0.00838798062421,-0.0315525565985,0.0904010247223,-0.190848621165,0.276427266325,-0.239131213973
22.98,-2.07912861576e-06,2.91297232709e-05,-0.000259510554973,0.00167852096117,0.00823976090614,-0.0310849319083,0.0893566766907,-0.189402607232,0.275834111668,-0.240973564133
23.01,-2.02299812163e-06,2.84050211395e-05,-0.000253633360098,0.00164449582599,0.00809391589191,-0.0306231575001,0.0883205673954,-0.187956615136,0.275216489462,-0.242773277047
23.04,-1.96834306742e-06,2.7697740777e-05,-0.000247883320664,0.00161111753299,0.00795041277257,-0.0301671813638,0.0872927019548,-0.186510858903,0.274574768125,-0.244530310936
23.07,-1.91512583291e-06,2.70074799261e-05,-0.000242257836257,0.00157837478794,0.00780921908073,-0.0297169515179,0.0862730838357,-0.185065549114,0.27390931653,-0.246244635388
23.1,-1.8633097238e-06,2.63338451748e-05,-0.000236754355906,0.00154625647081,0.00767030268949,-0.0292724160197,0.0852617148846,-0.183620892915,0.273220503898,-0.247916231205
23.13,-1.81285894989e-06,2.56764517731e-05,-0.000231370377228,0.00151475163353,0.00753363181121,-0.0288335229764,0.0842585953577,-0.182177094018,0.272508699685,-0.249545090263
23.16,-1.76373860366e-06,2.50349234542e-05,-0.000226103445596,0.00148384949789,0.00739917499628,-0.0284002205552,0.083263723952,-0.180734352712,0.271774273473,-0.251131215361
23.19,-1.71591463943e-06,2.44088922578e-05,-0.000220951153309,0.00145353945341,0.00726690113177,-0.0279724569939,0.0822770978352,-0.179292865868,0.271017594863,-0.252674620069
23.22,-1.66935385294e-06,2.37979983579e-05,-0.000215911138788,0.00142381105516,0.00713677944012,-0.0275501806102,0.0812987126759,-0.177852826947,0.270239033369,-0.254175328578
23.25,-1.62402386137e-06,2.32018898933e-05,-0.000210981085764,0.00139465402173,0.00700877947772,-0.0271333398116,0.0803285626734,-0.17641442601,0.269438958314,-0.255633375546
23.28,-1.57989308385e-06,2.26202228016e-05,-0.000206158722502,0.00136605823309,0.00688287113339,-0.0267218831049,0.0793666405878,-0.17497784973,0.268617738731,-0.257048805944
23.31,-1.53693072241e-06,2.20526606563e-05,-0.000201441821014,0.00133801372853,0.00675902462698,-0.0263157591053,0.0784129377688,-0.1735432814,0.267775743258,-0.258421674897
23.34,-1.49510674331e-06,2.1498874507e-05,-0.000196828196299,0.00131051070461,0.00663721050769,-0.0259149165454,0.0774674441854,-0.172110900945,0.266913340045,-0.259752047529
23.37,-1.45439185887e-06,2.09585427228e-05,-0.000192315705589,0.00128353951312,0.00651739965259,-0.0255193042836,0.076530148455,-0.170680884939,0.266030896652,-0.261039998806
23.4,-1.41475750963e-06,2.04313508388e-05,-0.000187902247607,0.00125709065902,0.00639956326488,-0.0251288713131,0.0756010378719,-0.16925340661,0.265128779961,-0.262285613369
