x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
-0.08,0.415332161489,0.139856719626,-0.175974167896,-0.254180866203,-0.121224803496,0.0682338268571,0.199279658645,0.197363896963,0.0290425267451,-0.180472987341
-0.06,0.415684285944,0.136594983521,-0.179038083878,-0.253710545828,-0.117593644174,0.0723384131469,0.201098433193,0.195037553765,0.0236377626656,-0.183993988331
-0.04,0.416019996922,0.13331747273,-0.182068432984,-0.253175405696,-0.113924905846,0.0764154740064,0.202828403834,0.19261219229,0.0182192630106,-0.187393243874
-0.02,0.41633927782,0.130024564686,-0.185064645606,-0.252575580491,-0.110219760003,0.0804634574619,0.204468804992,0.190089042316,0.0127901762484,-0.190668503238
0,0.416642114024,0.12671663907,-0.188026159085,-0.251911222249,-0.106479390184,0.0844808227986,0.206018911276,0.187469383922,0.007353657128,-0.193817598299
0.02,0.416928492905,0.123394077738,-0.190952417843,-0.251182500311,-0.102704991564,0.0884660411849,0.207478037819,0.184754546811,0.00191286479327,-0.196838445007
0.04,0.417198403817,0.120057264642,-0.193842873515,-0.250389601266,-0.0988977705336,0.0924175962925,0.20884554059,0.181945909609,-0.00352903910522,-0.199729044794
0.06,0.417451838095,0.116706585751,-0.196696985075,-0.2495327289,-0.0950589442762,0.0963339849097,0.210120816688,0.179044899133,-0.0089688922996,-0.202487485922
0.08,0.417688789051,0.113342428974,-0.199514218964,-0.248612104123,-0.0911897403398,0.100213717549,0.211303304621,0.176052989642,-0.0144035337942,-0.205111944771
0.1,0.417909251973,0.109965184082,-0.202294049211,-0.247627964908,-0.087291396207,0.104055319052,0.212392484557,0.17297170205,-0.0198298057537,-0.207600687062
0.12,0.418113224119,0.106575242627,-0.205035957556,-0.24658056621,-0.0833651588607,0.107857329178,0.213387878563,0.169802603124,-0.0252445553894,-0.209952069031
0.14,0.418300704713,0.103172997865,-0.207739433571,-0.245470179889,-0.0794122843465,0.1116183032,0.214289050815,0.166547304651,-0.0306446368415,-0.212164538521
0.16,0.418471694941,0.0997588446773,-0.210403974773,-0.244297094623,-0.0754340373316,0.115336812485,0.215095607795,0.163207462587,-0.0360269130565,-0.214236636029
0.18,0.418626197948,0.0963331794872,-0.213029086738,-0.243061615816,-0.0714316906616,0.119011445063,0.215807198464,0.159784776173,-0.0413882576595,-0.216166995679
0.2,0.418764218829,0.0928964001845,-0.215614283218,-0.241764065503,-0.0674065249138,0.122640806202,0.216423514415,0.156280987041,-0.0467255568186,-0.217954346127
0.22,0.418885764626,0.0894489060434,-0.218159086246,-0.240404782246,-0.0633598279484,0.126223518962,0.216944290003,0.152697878279,-0.0520357111012,-0.219597511414
0.24,0.418990844323,0.0859910976434,-0.220663026243,-0.238984121031,-0.0592928944567,0.129758224749,0.217369302461,0.149037273495,-0.0573156373214,-0.221095411739
0.26,0.419079468834,0.0825233767891,-0.223125642126,-0.237502453149,-0.055207025508,0.133243583857,0.217698371987,0.145301035843,-0.0625622703757,-0.222447064172
0.28,0.419151651005,0.0790461464295,-0.225546481405,-0.235960166085,-0.0511035280937,0.136678276006,0.217931361815,0.141491067033,-0.0677725650681,-0.223651583302
0.3,0.4192074056,0.0755598105786,-0.227925100287,-0.234357663392,-0.0469837146701,0.140061000863,0.218068178266,0.137609306326,-0.072943497922,-0.224708181811
0.32,0.419246749295,0.0720647742345,-0.23026106377,-0.232695364564,-0.0428489026989,0.143390478564,0.218108770774,0.133657729501,-0.0780720689771,-0.225616170989
0.34,0.419269700673,0.0685614432993,-0.232553945737,-0.230973704903,-0.0387004141871,0.146665450218,0.218053131897,0.129638347806,-0.0831553035727,-0.226374961171
0.36,0.419276280212,0.0650502244989,-0.234803329051,-0.229193135383,-0.0345395752252,0.149884678412,0.217901297299,0.125553206893,-0.0881902541135,-0.226984062113
0.38,0.41926651028,0.0615315253024,-0.237008805641,-0.227354122505,-0.0303677155241,0.153046947694,0.217653345722,0.121404385728,-0.0931740018186,-0.2274430833
0.4,0.419240415123,0.0580057538423,-0.239169976586,-0.225457148153,-0.0261861679513,0.156151065055,0.217309398927,0.117193995494,-0.0981036584518,-0.227751734177
0.42,0.419198020859,0.054473318834,-0.241286452205,-0.223502709437,-0.021996268067,0.1591958604,0.216869621622,0.112924178467,-0.102976368033,-0.227909824322
0.44,0.419139355466,0.0509346294959,-0.243357852132,-0.221491318542,-0.0177993536586,0.162180187007,0.216334221364,0.10859710688,-0.107789308527,-0.227917263539
0.46,0.419064448772,0.047390095469,-0.245383805399,-0.219423502564,-0.0135967642758,0.165102921973,0.215703448445,0.104214981773,-0.112539693514,-0.227774061893
0.48,0.418973332448,0.0438401267377,-0.247363950506,-0.217299803343,-0.00938984076516,0.167962966657,0.214977595753,0.0997800318291,-0.117224773834,-0.227480329669
0.5,0.418866039994,0.0402851335496,-0.249297935499,-0.215120777293,-0.00517992480451,0.170759247105,0.214156998617,0.0952945121878,-0.12184183921,-0.227036277263
0.52,0.41874260673,0.0367255263361,-0.251185418037,-0.21288699523,-0.000968358438292,0.173490714467,0.213242034629,0.0907607032568,-0.126388219846,-0.226442215006
0.54,0.418603069783,0.0331617156332,-0.253026065458,-0.21059904219,0.0032435163873,0.176156345403,0.212233123446,0.0861809095029,-0.130861287997,-0.225698552918
0.56,0.418447468079,0.0295941120019,-0.254819554847,-0.208257517247,0.0074543582883,0.178755142482,0.211130726576,0.0815574582337,-0.135258459515,-0.224805800397
0.58,0.418275842329,0.02602312595,-0.256565573095,-0.205863033322,0.0116628269062,0.181286134555,0.209935347136,0.0768926983673,-0.139577195367,-0.223764565834
0.6,0.418088235014,0.0224491678529,-0.258263816959,-0.203416216998,0.0158675833699,0.183748377138,0.208647529599,0.0721889991917,-0.143815003125,-0.222575556166
0.62,0.41788469038,0.0188726478755,-0.259913993114,-0.200917708319,0.0200672907574,0.186140952764,0.207267859515,0.0674487491134,-0.147969438424,-0.221239576357
0.64,0.417665254419,0.0152939758938,-0.261515818214,-0.198368160589,0.0242606145547,0.188462971334,0.205796963217,0.0626743543981,-0.152038106392,-0.219757528817
0.66,0.417429974856,0.0117135614178,-0.263069018933,-0.195768240174,0.0284462231145,0.190713570454,0.204235507506,0.0578682379013,-0.156018663047,-0.218130412752
0.68,0.417178901142,0.00813181351314,-0.26457333202,-0.193118626292,0.0326227881122,0.192891915757,0.202584199316,0.053032837792,-0.159908816668,-0.216359323447
0.7,0.416912084434,0.00454914072493,-0.266028504338,-0.190420010799,0.0367889850009,0.194997201216,0.200843785362,0.0481706062692,-0.163706329121,-0.214445451481
0.72,0.416629577584,0.000965951000418,-0.267434292909,-0.187673097978,0.0409434934635,0.197028649441,0.199015051767,0.0432840082715,-0.167409017164,-0.21239008189
0.74,0.416331435122,-0.00261734838702,-0.268790464951,-0.18487860432,0.045084997863,0.19898551197,0.197098823674,0.0383755201819,-0.171014753711,-0.210194593247
0.76,0.416017713249,-0.00620035091388,-0.270096797915,-0.182037258301,0.0492121876902,0.200867069539,0.195095964837,0.0334476285267,-0.174521469063,-0.207860456695
0.78,0.415688469813,-0.00978265088198,-0.271353079518,-0.179149800157,0.0533237580091,0.202672632347,0.193007377195,0.0285028286712,-0.177927152099,-0.20538923491
0.8,0.4153437643,-0.0133638434935,-0.272559107771,-0.176216981659,0.0574184098991,0.204401540303,0.19083400043,0.0235436235109,-0.181229851438,-0.202782580998
0.82,0.414983657818,-0.0169435249255,-0.273714691012,-0.173239565874,0.0614948508942,0.206053163261,0.188576811501,0.0185725221608,-0.184427676556,-0.200042237343
0.84,0.41460821308,-0.0205212924039,-0.274819647921,-0.17021832694,0.0655517954201,0.207626901246,0.186236824173,0.0135920386424,-0.187518798871,-0.197170034382
0.86,0.414217494391,-0.0240967442774,-0.275873807552,-0.167154049818,0.0695879652264,0.209122184662,0.183815088513,0.00860469056952,-0.190501452784,-0.19416788933
0.88,0.413811567628,-0.0276694800902,-0.276877009345,-0.164047530062,0.0736020898168,0.210538474489,0.181312690385,0.00361299783341,-0.193373936686,-0.191037804842
0.9,0.413390500229,-0.0312391006544,-0.277829103142,-0.160899573566,0.0775929068748,0.211875262466,0.17873075092,-0.00138051871172,-0.196134613924,-0.187781867618
0.92,0.412954361172,-0.0348052081225,-0.278729949205,-0.157710996324,0.0815591626863,0.213132071264,0.176070425969,-0.00637333856224,-0.198781913722,-0.184402246953
0.94,0.412503220962,-0.0383674060581,-0.279579418221,-0.154482624178,0.0854996125574,0.214308454641,0.173332905544,-0.0113629428771,-0.201314332068,-0.180901193235
0.96,0.412037151612,-0.0419252995074,-0.280377391311,-0.151215292569,0.0894130212291,0.215403997588,0.170519413245,-0.0163468157873,-0.203730432556,-0.177281036381
0.98,0.411556226626,-0.0454784950686,-0.281123760035,-0.147909846279,0.0932981632872,0.216418316458,0.167631205665,-0.0213224457021,-0.206028847184,-0.173544184225
1,0.411060520983,-0.0490266009623,-0.281818426394,-0.144567139183,0.0971538235678,0.217351059083,0.164669571786,-0.0262873266121,-0.208208277119,-0.169693120858
1.02,0.41055011112,-0.0525692270999,-0.282461302828,-0.14118803398,0.100978797558,0.218201904881,0.161635832361,-0.0312389593865,-0.210267493405,-0.165730404908
1.04,0.410025074912,-0.0561059851519,-0.283052312214,-0.13777340194,0.104771891794,0.218970564942,0.158531339276,-0.0361748530662,-0.212205337643,-0.161658667782
1.06,0.409485491657,-0.0596364886159,-0.283591387854,-0.134324122641,0.108531924251,0.21965678211,0.155357474903,-0.0410925261505,-0.214020722616,-0.157480611848
1.08,0.408931442054,-0.0631603528832,-0.284078473473,-0.130841083698,0.112257724729,0.220260331044,0.152115651439,-0.045989507877,-0.215712632876,-0.153199008581
1.1,0.408363008192,-0.0666771953049,-0.284513523201,-0.127325180506,0.115948135236,0.220781018266,0.148807310231,-0.0508633394943,-0.217280125287,-0.148816696659
1.12,0.407780273521,-0.070186635258,-0.284896501561,-0.123777315963,0.119602010366,0.221218682205,0.145433921088,-0.0557115755265,-0.218722329523,-0.144336580015
1.14,0.407183322846,-0.0736882942098,-0.285227383449,-0.120198400206,0.123218217665,0.221573193212,0.141996981581,-0.060531785029,-0.220038448518,-0.139761625847
1.16,0.406572242296,-0.0771817957819,-0.285506154117,-0.116589350337,0.126795638001,0.221844453577,0.138498016331,-0.065321552835,-0.221227758877,-0.135094862584
1.18,0.405947119314,-0.0806667658137,-0.285732809147,-0.112951090149,0.13033316592,0.222032397523,0.134938576287,-0.0700784807914,-0.22228961124,-0.130339377824
1.2,0.405308042635,-0.084142832425,-0.285907354425,-0.109284549855,0.133829710003,0.22213699119,0.131320237986,-0.0748001889844,-0.223223430598,-0.125498316215
1.22,0.404655102266,-0.0876096260777,-0.286029806115,-0.105590665811,0.137284193212,0.222158232603,0.127644602813,-0.0794843169536,-0.224028716569,-0.120574877319
1.24,0.403988389466,-0.0910667796367,-0.286100190627,-0.101870380236,0.140695553235,0.222096151632,0.123913296242,-0.0841285248938,-0.224705043625,-0.115572313427
1.26,0.40330799673,-0.0945139284301,-0.28611854458,-0.0981246409412,0.144062742817,0.221950809938,0.120127967068,-0.0887304948443,-0.225252061271,-0.110493927346
1.28,0.402614017766,-0.0979507103089,-0.286084914773,-0.0943544010436,0.147384730096,0.221722300896,0.116290286636,-0.0932879318644,-0.22566949419,-0.105343070155
1.3,0.401906547477,-0.101376765705,-0.285999358137,-0.0905606186917,0.150660498919,0.221410749522,0.112401948049,-0.0977985651957,-0.225957142327,-0.100123138929
1.32,0.40118568194,-0.104791737689,-0.285861941702,-0.0867442567825,0.153889049167,0.221016312369,0.108464665376,-0.102260149409,-0.226114880942,-0.094837574434
1.34,0.400451518387,-0.108195272028,-0.285672742548,-0.0829062826815,0.157069397057,0.220539177427,0.104480172855,-0.106670465537,-0.226142660604,-0.0894898587988
1.36,0.399704155185,-0.11158701724,-0.285431847759,-0.0790476679406,0.160200575455,0.219979563997,0.100450224071,-0.111027322189,-0.226040507156,-0.084083513155
1.38,0.398943691815,-0.11496662465,-0.285139354377,-0.0751693880162,0.163281634164,0.219337722558,0.0963765911471,-0.115328556652,-0.225808521618,-0.0786220952587
1.4,0.398170228851,-0.118333748446,-0.284795369347,-0.0712724219864,0.16631164022,0.218613934622,0.092261063915,-0.119572035975,-0.225446880055,-0.0731091970887
1.42,0.397383867941,-0.121688045726,-0.284400009464,-0.0673577522685,0.169289678172,0.217808512574,0.0881054490819,-0.123755658031,-0.224955833402,-0.0675484424236
1.44,0.396584711787,-0.125029176561,-0.283953401321,-0.063426364336,0.17221485036,0.216921799502,0.0839115693928,-0.127877352567,-0.224335707234,-0.061943484401
1.46,0.395772864122,-0.128356804035,-0.283455681243,-0.0594792464356,0.175086277184,0.215954169011,0.0796812627849,-0.131935082233,-0.223586901502,-0.0562980030605
1.48,0.394948429692,-0.131670594304,-0.282906995233,-0.0555173893039,0.177903097365,0.214906025032,0.0754163815379,-0.13592684359,-0.222709890221,-0.05061570287
1.5,0.394111514232,-0.134970216643,-0.282307498905,-0.051541785885,0.180664468198,0.213777801608,0.0711187914178,-0.139850668099,-0.22170522111,-0.04490031024
1.52,0.393262224449,-0.138255343494,-0.281657357418,-0.0475534310475,0.183369565803,0.212569962678,0.0667903708173,-0.143704623097,-0.220573515199,-0.0391555710259
1.54,0.392400667999,-0.141525650514,-0.280956745412,-0.0435533213021,0.186017585362,0.211283001846,0.0624330098913,-0.147486812738,-0.219315466377,-0.0333852480199
1.56,0.391526953465,-0.144780816624,-0.280205846934,-0.0395424545198,0.188607741352,0.209917442133,0.0580486096884,-0.151195378928,-0.217931840915,-0.0275931184353
1.58,0.390641190337,-0.148020524052,-0.279404855367,-0.0355218296505,0.191139267768,0.208473835728,0.0536390812797,-0.154828502228,-0.216423476932,-0.0217829713844
1.6,0.389743488993,-0.15124445838,-0.278553973357,-0.0314924464417,0.193611418345,0.206952763717,0.0492063448845,-0.158384402739,-0.214791283824,-0.0159586053511
1.62,0.388833960674,-0.154452308587,-0.277653412735,-0.0274553051588,0.196023466762,0.205354835809,0.0447523289928,-0.161861340966,-0.213036241658,-0.0101238256616
1.64,0.387912717465,-0.157643767092,-0.27670339444,-0.0234114063055,0.198374706845,0.203680690043,0.0402789694868,-0.165257618656,-0.211159400511,-0.0042824419528
1.66,0.386979872274,-0.160818529799,-0.275704148437,-0.0193617503451,0.200664452766,0.201930992495,0.0357882087599,-0.168571579616,-0.20916187978,0.00156173435763
1.68,0.386035538811,-0.163976296133,-0.274655913633,-0.0153073374233,0.202892039219,0.200106436958,0.0312819948353,-0.171801610501,-0.207044867446,0.00740489259963
1.7,0.385079831564,-0.167116769083,-0.273558937796,-0.0112491670913,0.205056821609,0.198207744631,0.0267622804828,-0.174946141589,-0.204809619301,0.0132432253748
1.72,0.384112865781,-0.170239655242,-0.272413477466,-0.00718823803053,0.207158176216,0.19623566378,0.0222310223364,-0.178003647519,-0.202457458134,0.0190729310745
1.74,0.383134757448,-0.173344664844,-0.271219797867,-0.00312554777857,0.209195500358,0.194190969401,0.0176901800113,-0.180972648014,-0.199989772879,0.024890216391
1.76,0.382145623265,-0.176431511799,-0.269978172816,0.000937907543709,0.211168212547,0.192074462865,0.0131417152216,-0.183851708575,-0.197408017726,0.0306912988186
1.78,0.381145580629,-0.179499913733,-0.268688884632,0.00500113350363,0.213075752635,0.18988697156,0.00858759089873,-0.18663944115,-0.194713711192,0.0364724091445
1.8,0.380134747609,-0.182549592021,-0.26735222404,0.00906313762659,0.21491758195,0.187629348513,0.00402977031202,-0.189334504774,-0.191908435159,0.0422297939269
1.82,0.379113242927,-0.185580271821,-0.265968490077,0.0131229296645,0.216693183431,0.185302472016,-0.000529783809951,-0.191935606191,-0.188993833874,0.0479597179588
1.84,0.378081185933,-0.188591682107,-0.264537989995,0.0171795218624,0.218402061746,0.182907245234,-0.0050891101551,-0.194441500444,-0.185971612912,0.0536584667157
1.86,0.37703869659,-0.191583555703,-0.263061039159,0.0212319292236,0.220043743408,0.180444595801,-0.00964624970114,-0.196850991436,-0.182843538108,0.059322348786
1.88,0.375985895448,-0.19455562931,-0.261537960948,0.0252791697725,0.22161777688,0.177915475417,-0.0141992465858,-0.199162932473,-0.179611434452,0.064947698282
1.9,0.374922903622,-0.197507643541,-0.259969086651,0.0293202648162,0.223123732675,0.175320859431,-0.0187461489738,-0.201376226772,-0.176277184954,0.0705308772301
1.92,0.373849842776,-0.200439342945,-0.258354755365,0.0333542392034,0.224561203441,0.17266174641,-0.0232850099194,-0.203489827943,-0.172842729472,0.0760682779389
1.94,0.372766835094,-0.203350476039,-0.256695313889,0.037380121582,0.225929804049,0.16993915771,-0.0278138882255,-0.205502740452,-0.169310063513,0.0815563253425
1.96,0.371674003266,-0.206240795333,-0.254991116614,0.0413969446539,0.227229171662,0.167154137034,-0.0323308492969,-0.207414020041,-0.165681237001,0.0869914793194
1.98,0.370571470465,-0.209110057356,-0.253242525417,0.0454037454276,0.228458965803,0.164307749979,-0.0368339659902,-0.209222774138,-0.161958353014,0.0923702369834
