method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,86501,8.650100,0.0001,0.129,9,1.990483e-10,1.006528e-10,1.013099e-20,10,6.155772e-14
cheb,87001,8.700100,0.0001,0.218,9,2.001961e-10,1.012372e-10,1.024898e-20,10,6.155772e-14
cheb,87501,8.750100,0.0001,0.145,9,2.013465e-10,1.018213e-10,1.036757e-20,10,6.155772e-14
cheb,88001,8.800100,0.0001,0.129,9,2.024947e-10,1.024037e-10,1.048652e-20,10,6.155772e-14
cheb,88501,8.850100,0.0001,0.137,9,2.036449e-10,1.029881e-10,1.060655e-20,10,6.155772e-14
cheb,89001,8.900100,0.0001,0.133,9,2.047960e-10,1.035732e-10,1.072740e-20,10,6.155772e-14
cheb,89501,8.950100,0.0001,0.159,9,2.059466e-10,1.041575e-10,1.084879e-20,10,6.155772e-14
cheb,90001,9.000100,0.0001,0.127,9,2.070970e-10,1.047410e-10,1.097068e-20,10,6.155772e-14
cheb,90501,9.050100,0.0001,0.133,9,2.082454e-10,1.053252e-10,1.109339e-20,10,6.155772e-14
cheb,91001,9.100100,0.0001,0.143,9,2.093961e-10,1.059086e-10,1.121663e-20,10,6.155772e-14
cheb,91501,9.150100,0.0001,0.128,9,2.105491e-10,1.064922e-10,1.134059e-20,10,6.155772e-14
cheb,92001,9.200100,0.0001,0.133,9,2.116938e-10,1.070782e-10,1.146574e-20,10,6.155772e-14
cheb,92501,9.250100,0.0001,0.138,9,2.128449e-10,1.076612e-10,1.159093e-20,10,6.155772e-14
cheb,93001,9.300100,0.0001,0.124,9,2.139950e-10,1.082458e-10,1.171716e-20,10,6.155772e-14
cheb,93501,9.350100,0.0001,0.135,9,2.151477e-10,1.088296e-10,1.184387e-20,10,6.155772e-14
cheb,94001,9.400100,0.0001,0.255,9,2.163016e-10,1.094151e-10,1.197167e-20,10,6.155772e-14
cheb,94501,9.450100,0.0001,0.145,9,2.174481e-10,1.099993e-10,1.209985e-20,10,6.155772e-14
cheb,95001,9.500100,0.0001,0.139,9,2.186022e-10,1.105824e-10,1.222847e-20,10,6.155772e-14
cheb,95501,9.550100,0.0001,0.134,9,2.197538e-10,1.111662e-10,1.235793e-20,10,6.155772e-14
cheb,96001,9.600100,0.0001,0.133,9,2.209004e-10,1.117525e-10,1.248863e-20,10,6.155772e-14
cheb,96501,9.650100,0.0001,0.134,9,2.220535e-10,1.123354e-10,1.261924e-20,10,6.155772e-14
cheb,97001,9.700100,0.0001,0.127,9,2.232048e-10,1.129180e-10,1.275048e-20,10,6.155772e-14
cheb,97501,9.750100,0.0001,0.128,9,2.243550e-10,1.135035e-10,1.288303e-20,10,6.155772e-14
cheb,98001,9.800100,0.0001,0.123,9,2.255029e-10,1.140870e-10,1.301583e-20,10,6.155772e-14
cheb,98501,9.850100,0.0001,0.129,9,2.266547e-10,1.146717e-10,1.314961e-20,10,6.155772e-14
cheb,99001,9.900100,0.0001,0.130,9,2.278047e-10,1.152536e-10,1.328340e-20,10,6.155772e-14
cheb,99501,9.950100,0.0001,0.141,9,2.289569e-10,1.158371e-10,1.341824e-20,10,6.155772e-14
cheb,100000,10.000000,0.0001,0.225,9,2.301004e-10,1.164199e-10,1.355360e-20,10,6.155772e-14
